Match_id,Date,Time,Wk,Home_id,Away_id,ScoreHome,ScoreAway,League_name,Round
4df3a732,2022-09-17,12:00,2,15f49df1,4c088abe,2,0,Liga-F,
87c755cd,2022-09-17,12:00,2,aa11fb42,89818574,1,2,Liga-F,
abfde9d9,2022-09-17,16:00,2,c21f25d3,7a7bef84,2,0,Liga-F,
d0329f46,2022-09-17,16:00,2,54582b93,f96ff499,2,0,Liga-F,
f4452586,2022-09-17,18:00,2,215d9026,b56c2667,1,3,Liga-F,
b2402e4e,2022-09-18,12:00,2,e9fecaf2,0f4738a8,2,3,Liga-F,
d320ccc0,2022-09-18,12:00,2,94929c05,27acb0af,3,0,Liga-F,
ddc9ce5c,2022-09-18,18:00,2,74142337,753b93a5,1,2,Liga-F,
5a55bc4f,2022-09-24,12:00,3,89818574,753b93a5,3,1,Liga-F,
8c012533,2022-09-24,12:00,3,27acb0af,e9fecaf2,1,0,Liga-F,
e777f569,2022-09-24,16:00,3,f96ff499,215d9026,2,0,Liga-F,
799cf7ad,2022-09-24,18:00,3,c21f25d3,74142337,2,2,Liga-F,
ad54c9ef,2022-09-25,12:00,3,b56c2667,aa11fb42,1,0,Liga-F,
6a01f711,2022-09-25,17:00,3,7a7bef84,15f49df1,1,4,Liga-F,
989342a1,2022-09-25,19:00,3,0f4738a8,94929c05,2,0,Liga-F,
0540f7dd,2022-10-01,12:00,4,aa11fb42,7a7bef84,0,4,Liga-F,
f73a565a,2022-10-01,12:00,4,74142337,4c088abe,1,2,Liga-F,
ba2b31a0,2022-10-01,16:00,4,27acb0af,f96ff499,0,0,Liga-F,
1f2a3a7f,2022-10-01,18:15,4,15f49df1,89818574,7,0,Liga-F,
1183b290,2022-10-02,12:00,4,753b93a5,e9fecaf2,3,1,Liga-F,
8ac79dea,2022-10-02,12:00,4,0f4738a8,b56c2667,2,1,Liga-F,
c812444e,2022-10-02,16:00,4,215d9026,c21f25d3,2,2,Liga-F,
18efae97,2022-10-02,18:00,4,94929c05,54582b93,0,3,Liga-F,
b666c172,2022-10-15,12:00,5,753b93a5,0f4738a8,1,1,Liga-F,
e20140d7,2022-10-15,12:00,5,c21f25d3,4c088abe,1,1,Liga-F,
b954009a,2022-10-15,16:00,5,b56c2667,27acb0af,5,0,Liga-F,
139e63cd,2022-10-15,17:45,5,94929c05,15f49df1,0,3,Liga-F,
80948039,2022-10-16,12:00,5,54582b93,aa11fb42,7,1,Liga-F,
aeb79023,2022-10-16,12:00,5,7a7bef84,215d9026,0,5,Liga-F,
cd076cd7,2022-10-16,16:00,5,e9fecaf2,f96ff499,0,1,Liga-F,
3258462a,2022-10-16,18:00,5,89818574,74142337,4,0,Liga-F,
814ef50d,2022-10-22,12:00,6,aa11fb42,94929c05,1,1,Liga-F,
9eb749ee,2022-10-22,12:00,6,b56c2667,89818574,1,1,Liga-F,
bc1e21ba,2022-10-22,16:00,6,27acb0af,c21f25d3,0,2,Liga-F,
fb611742,2022-10-22,18:15,6,74142337,15f49df1,0,3,Liga-F,
b1300ce6,2022-10-23,11:00,6,4c088abe,7a7bef84,2,0,Liga-F,
ec7587cb,2022-10-23,11:00,6,0f4738a8,54582b93,2,2,Liga-F,
58706145,2022-10-23,16:00,6,f96ff499,753b93a5,1,1,Liga-F,
e6fe4464,2022-10-23,18:00,6,215d9026,e9fecaf2,2,0,Liga-F,
30cbd0d6,2022-10-29,11:45,7,94929c05,b56c2667,1,4,Liga-F,
493b7bef,2022-10-29,12:00,7,89818574,4c088abe,2,0,Liga-F,
8838f1cd,2022-10-29,16:00,7,aa11fb42,c21f25d3,1,5,Liga-F,
c4bba788,2022-10-29,18:15,7,e9fecaf2,74142337,0,2,Liga-F,
1c234734,2022-10-30,12:00,7,753b93a5,27acb0af,1,2,Liga-F,
