Player_id,Player,Squad_id,Nation,Pos,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Progression_PrgC,Progression_PrgP,Progression_PrgR,Sh,SoT,Dist,FK,Passes_Cmp,Passes_Att,Passes_TotDist,Passes_PrgDist,KP,PPA,Tkl,Challenges_Tkl,Challenges_Lost,Blocks,Err,Touches,Touches_DefPen,Touches_AttPen,Take-Ons_Succ,Take-Ons_Tkld,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Dis,Receiving_Rec,Subs,unSub,2CrdY,Fls,Fld,Off,PKcon,OG,Recov
46f75f0c,Teresa Abilleira,54582b93,es ESP,MF,23,2000,20,10,1147,3,3,0,0,0,0,13.0,99.0,13.0,24.0,8.0,25.1,3.0,701.0,864.0,13516.0,4632.0,25.0,9.0,35.0,8.0,7.0,13.0,0.0,989.0,16.0,7.0,11.0,7.0,522.0,2510.0,1092.0,15.0,659.0,10,6.0,0,20.0,19.0,0.0,0.0,0,98.0
72c566fe,Jessica Aby,aa11fb42,ci CIV,"MF,FW",24,1998,17,6,548,1,0,0,0,7,1,6.0,15.0,17.0,12.0,5.0,18.9,0.0,113.0,179.0,1946.0,447.0,11.0,2.0,14.0,3.0,2.0,3.0,0.0,259.0,11.0,22.0,5.0,3.0,141.0,636.0,244.0,9.0,166.0,11,5.0,1,32.0,14.0,2.0,0.0,0,34.0
67a39a11,Charity Adule,e9fecaf2,,"FW,MF",29,1993,9,1,171,0,0,0,0,0,0,0.0,1.0,5.0,1.0,0.0,25.8,0.0,20.0,38.0,259.0,73.0,2.0,0.0,5.0,2.0,1.0,4.0,0.0,61.0,3.0,2.0,1.0,4.0,26.0,80.0,17.0,2.0,31.0,8,6.0,0,1.0,4.0,1.0,0.0,0,12.0
a097ef45,Júlia Aguado,0f4738a8,,"FW,MF",22,2000,15,0,119,3,0,0,0,0,0,3.0,1.0,17.0,4.0,4.0,9.3,0.0,25.0,38.0,293.0,45.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,61.0,1.0,8.0,0.0,6.0,37.0,219.0,88.0,3.0,49.0,15,8.0,0,4.0,1.0,4.0,0.0,0,7.0
150b2d3b,Yolanda Aguirre,215d9026,es ESP,GK,24,1998,5,5,450,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0,94.0,141.0,2709.0,1996.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,160.0,145.0,0.0,0.0,0.0,60.0,362.0,272.0,0.0,39.0,0,20.0,0,0.0,1.0,0.0,0.0,1,3.0
77448ed7,Rasheedat Ajibade,b56c2667,ng NGA,FW,23,1999,25,19,1660,8,1,0,0,2,0,74.0,42.0,172.0,76.0,33.0,15.5,0.0,296.0,449.0,4883.0,1195.0,16.0,16.0,22.0,10.0,7.0,18.0,0.0,743.0,12.0,122.0,42.0,45.0,525.0,4102.0,1872.0,40.0,552.0,6,1.0,0,20.0,26.0,18.0,0.0,0,96.0
e938c5ba,Henriette Akaba,753b93a5,cm CMR,"DF,FW",30,1992,2,0,10,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,10.6,0.0,3.0,3.0,79.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,0.0,2.0,7.0,3.0,0.0,4.0,2,7.0,0,0.0,0.0,1.0,0.0,0,0.0
4f3341b5,Albeta,7a7bef84,,DF,21,2001,9,8,668,0,0,0,0,1,0,7.0,11.0,7.0,0.0,0.0,,0.0,120.0,189.0,2019.0,1032.0,2.0,2.0,14.0,7.0,14.0,4.0,0.0,240.0,8.0,3.0,4.0,3.0,83.0,605.0,248.0,5.0,87.0,1,8.0,0,5.0,5.0,0.0,0.0,0,36.0
450dbe8a,Ainhoa Alguacil,f96ff499,,"MF,FW",17,2006,18,6,618,0,2,0,0,0,0,16.0,42.0,35.0,7.0,2.0,22.6,0.0,202.0,259.0,3420.0,955.0,15.0,8.0,13.0,4.0,4.0,6.0,0.0,322.0,9.0,11.0,6.0,4.0,181.0,1116.0,483.0,18.0,215.0,12,1.0,0,2.0,7.0,0.0,0.0,0,49.0
9581d587,María Alharilla Casado,0f4738a8,es ESP,DF,32,1990,17,10,966,1,0,0,0,0,0,7.0,51.0,36.0,4.0,1.0,14.7,0.0,469.0,649.0,7889.0,3789.0,7.0,10.0,35.0,14.0,7.0,10.0,1.0,759.0,24.0,12.0,8.0,8.0,314.0,1294.0,616.0,7.0,383.0,7,1.0,0,11.0,4.0,1.0,0.0,0,71.0
